#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.80940271e-01   0.00000000e+00   2.25910083e+00  -2.32536665e-04   1.57264527e-01  -1.25533293e+01  -4.54005786e+00   2.53558370e-02
  1.84420203e-01   0.00000000e+00   2.25998878e+00  -2.40378964e-04   1.53629057e-01  -1.23233326e+01  -4.53999543e+00   2.52553414e-02
  1.87967062e-01   0.00000000e+00   2.26091070e+00  -2.48438645e-04   1.50052502e-01  -1.20978042e+01  -4.53993116e+00   2.51513843e-02
  1.91582136e-01   0.00000000e+00   2.26186789e+00  -2.56718036e-04   1.46533734e-01  -1.18766619e+01  -4.53986502e+00   2.50438637e-02
  1.95266737e-01   0.00000000e+00   2.26286166e+00  -2.65219162e-04   1.43071652e-01  -1.16598253e+01  -4.53979698e+00   2.49326765e-02
  1.99022202e-01   0.00000000e+00   2.26389339e+00  -2.73943709e-04   1.39665187e-01  -1.14472154e+01  -4.53972702e+00   2.48177178e-02
  2.02849894e-01   0.00000000e+00   2.26496450e+00  -2.82892988e-04   1.36313297e-01  -1.12387547e+01  -4.53965513e+00   2.46988813e-02
  2.06751202e-01   0.00000000e+00   2.26607648e+00  -2.92067900e-04   1.33014970e-01  -1.10343674e+01  -4.53958129e+00   2.45760595e-02
  2.10727542e-01   0.00000000e+00   2.26723085e+00  -3.01468891e-04   1.29769223e-01  -1.08339789e+01  -4.53950548e+00   2.44491436e-02
  2.14780357e-01   0.00000000e+00   2.26842920e+00  -3.11095916e-04   1.26575102e-01  -1.06375163e+01  -4.53942771e+00   2.43180240e-02
  2.18911117e-01   0.00000000e+00   2.26967318e+00  -3.20948390e-04   1.23431684e-01  -1.04449079e+01  -4.53934797e+00   2.41825901e-02
  2.23121323e-01   0.00000000e+00   2.27096449e+00  -3.31025145e-04   1.20338073e-01  -1.02560835e+01  -4.53926627e+00   2.40427307e-02
  2.27412501e-01   0.00000000e+00   2.27230488e+00  -3.41324380e-04   1.17293404e-01  -1.00709741e+01  -4.53918262e+00   2.38983341e-02
  2.31786209e-01   0.00000000e+00   2.27369619e+00  -3.51843610e-04   1.14296839e-01  -9.88951216e+00  -4.53909704e+00   2.37492885e-02
  2.36244034e-01   0.00000000e+00   2.27514031e+00  -3.62579617e-04   1.11347573e-01  -9.71163148e+00  -4.53900956e+00   2.35954819e-02
  2.40787595e-01   0.00000000e+00   2.27663919e+00  -3.73528389e-04   1.08444828e-01  -9.53726705e+00  -4.53892021e+00   2.34368028e-02
  2.45418539e-01   0.00000000e+00   2.27819486e+00  -3.84685073e-04   1.05587857e-01  -9.36635513e+00  -4.53882904e+00   2.32731401e-02
  2.50138548e-01   0.00000000e+00   2.27980943e+00  -3.96043906e-04   1.02775942e-01  -9.19883322e+00  -4.53873610e+00   2.31043837e-02
  2.54949335e-01   0.00000000e+00   2.28148506e+00  -4.07598166e-04   1.00008396e-01  -9.03464003e+00  -4.53864147e+00   2.29304248e-02
  2.59852645e-01   0.00000000e+00   2.28322400e+00  -4.19340104e-04   9.72845595e-02  -8.87371544e+00  -4.53854522e+00   2.27511558e-02
  2.64850257e-01   0.00000000e+00   2.28502858e+00  -4.31260886e-04   9.46038062e-02  -8.71600049e+00  -4.53844745e+00   2.25664715e-02
  2.69943987e-01   0.00000000e+00   2.28690121e+00  -4.43350530e-04   9.19655384e-02  -8.56143737e+00  -4.53834827e+00   2.23762690e-02
